Player,Tm,Age,G,GS,Cmp,Att,CmpPct,Yds,TD,Int,1D,Lng,Rate,QBR
Keenan Allen ,LAC,29,16,16,0,1,0,0,0,0,0,0,39.6,51.3
Danny Amendola,HOU,36,8,0,0,1,0,0,0,0,0,0,39.6,3.3
Cole Beasley,BUF,32,16,8,0,1,0,0,0,0,0,0,39.6,2.3
Chris Boswell,PIT,30,17,0,0,1,0,0,0,0,0,0,39.6,
A.J. Brown,TEN,24,13,13,0,2,0,0,0,0,0,0,39.6,2.4
Rex Burkhead,HOU,31,16,5,0,1,0,0,0,0,0,0,39.6,2.4
Keelan Cole,NYJ,28,15,11,0,1,0,0,0,0,0,0,39.6,3.5
Riley Dixon,NYG,28,17,0,0,1,0,0,0,0,0,0,39.6,
Leonard Fournette,TAM,26,14,13,0,1,0,0,0,0,0,0,39.6,28.1
Feleipe Franks,ATL,24,9,0,0,1,0,0,0,1,0,0,0.0,0.8
Mike Gesicki,MIA,26,17,9,0,1,0,0,0,0,0,0,39.6,4.2
Blake Gillikin,NOR,23,17,0,0,1,0,0,0,0,0,0,39.6,
Sam Koch,BAL,39,17,0,0,1,0,0,0,0,0,0,39.6,
Cooper Kupp   ,LAR,28,17,17,0,1,0,0,0,0,0,0,39.6,10.4
Ty Long,LAC,28,17,0,0,1,0,0,0,0,0,0,39.6,
David Montgomery,CHI,24,13,13,0,1,0,0,0,1,0,0,0.0,21.2
Cordarrelle Patterson,ATL,30,16,13,0,1,0,0,0,0,0,0,39.6,2.9
Brett Rypien,DEN,25,1,0,0,2,0,0,0,0,0,0,39.6,1.1
D'Andre Swift,DET,22,13,4,0,1,0,0,0,0,0,0,39.6,0.5
Albert Wilson,MIA,29,14,5,0,1,0,0,0,0,0,0,39.6,0.0
Brandon Zylstra,CAR,28,13,3,0,1,0,0,0,0,0,0,39.6,0.4
